short_name,character,unicode
account,,EB99
activate-breakpoints,,EA97
add,,EA60
archive,,EA98
arrow-both,,EA99
arrow-circle-down,,EBFC
arrow-circle-left,,EBFD
arrow-circle-right,,EBFE
arrow-circle-up,,EBFF
arrow-down,,EA9A
arrow-left,,EA9B
arrow-right,,EA9C
arrow-small-down,,EA9D
arrow-small-left,,EA9E
arrow-small-right,,EA9F
arrow-small-up,,EAA0
arrow-swap,,EBCB
arrow-up,,EAA1
azure-devops,,EBE8
azure,,EBD8
beaker-stop,,EBE1
beaker,,EA79
bell-dot,,EB9A
bell-slash-dot,,EC09
bell-slash,,EC08
bell,,EAA2
blank,,EC03
bold,,EAA3
book,,EAA4
bookmark,,EAA5
bracket-dot,,EBE5
bracket-error,,EBE6
briefcase,,EAAC
broadcast,,EAAD
browser,,EAAE
bug,,EAAF
calendar,,EAB0
call-incoming,,EB92
call-outgoing,,EB93
case-sensitive,,EAB1
check-all,,EBB1
check,,EAB2
checklist,,EAB3
chevron-down,,EAB4
chevron-left,,EAB5
chevron-right,,EAB6
chevron-up,,EAB7
chrome-close,,EAB8
chrome-maximize,,EAB9
chrome-minimize,,EABA
chrome-restore,,EABB
circle-filled,,EA71
circle-large-filled,,EBB4
circle-large-outline,,EBB5
circle-outline,,EABC
circle-slash,,EABD
circle-small-filled,,EB8A
circle-small,,EC07
circuit-board,,EABE
clear-all,,EABF
clippy,,EAC0
close-all,,EAC1
close,,EA76
cloud-download,,EAC2
cloud-upload,,EAC3
cloud,,EBAA
code,,EAC4
collapse-all,,EAC5
color-mode,,EAC6
combine,,EBB6
comment-discussion,,EAC7
comment-unresolved,,EC0A
comment,,EA6B
compass-active,,EBD7
compass-dot,,EBD6
compass,,EBD5
copy,,EBCC
credit-card,,EAC9
dash,,EACC
dashboard,,EACD
database,,EACE
debug-all,,EBDC
debug-alt-small,,EBA8
debug-alt,,EB91
debug-breakpoint-conditional-unverified,,EAA6
debug-breakpoint-conditional,,EAA7
debug-breakpoint-data-unverified,,EAA8
debug-breakpoint-data,,EAA9
debug-breakpoint-function-unverified,,EB87
debug-breakpoint-function,,EB88
debug-breakpoint-log-unverified,,EAAA
debug-breakpoint-log,,EAAB
debug-breakpoint-unsupported,,EB8C
debug-console,,EB9B
debug-continue-small,,EBE0
debug-continue,,EACF
debug-coverage,,EBDD
debug-disconnect,,EAD0
debug-line-by-line,,EBD0
debug-pause,,EAD1
debug-rerun,,EBC0
debug-restart-frame,,EB90
debug-restart,,EAD2
debug-reverse-continue,,EB8E
debug-stackframe-active,,EB89
debug-stackframe,,EB8B
debug-start,,EAD3
debug-step-back,,EB8F
debug-step-into,,EAD4
debug-step-out,,EAD5
debug-step-over,,EAD6
debug-stop,,EAD7
debug,,EAD8
desktop-download,,EA78
device-camera-video,,EAD9
device-camera,,EADA
device-mobile,,EADB
diff-added,,EADC
diff-ignored,,EADD
diff-modified,,EADE
diff-removed,,EADF
diff-renamed,,EAE0
diff,,EAE1
discard,,EAE2
edit,,EA73
editor-layout,,EAE3
ellipsis,,EA7C
empty-window,,EAE4
error-small,,EBFB
error,,EA87
exclude,,EAE5
expand-all,,EB95
export,,EBAC
extensions,,EAE6
eye-closed,,EAE7
eye,,EA70
feedback,,EB96
file-binary,,EAE8
file-code,,EAE9
file-media,,EAEA
file-pdf,,EAEB
file-submodule,,EAEC
file-symlink-directory,,EAED
file-symlink-file,,EAEE
file-zip,,EAEF
file,,EA7B
files,,EAF0
filter-filled,,EBCE
filter,,EAF1
flame,,EAF2
